DAYS,TIMES,LAT,LNG,TIME_DIFF,SPEED,CELLLAT,CELLLNG
20211026,62049,30.349885,120.048526,5,7.175329633,30.348968,120.049499
20211026,62054,30.349913,120.048908,5,7.357459587,30.348968,120.049499
20211026,62059,30.349968,120.049253,5,6.733025452,30.348968,120.049499
20211026,62104,30.349975,120.049515,5,5.030534929,30.348968,120.049499
20211026,62109,30.349963,120.04985,5,6.434600601,30.354785,120.057022
20211026,62119,30.349953,120.050661,5,8.021942217,30.354785,120.057022
20211026,62124,30.349985,120.051058,5,7.652096057,30.353046,120.056312
20211026,62129,30.350006,120.051438,5,7.307605597,30.354785,120.057022
20211026,62134,30.350013,120.051833,5,7.582144143,30.348136,120.048538
20211026,62139,30.350031,120.05224,5,7.821083365,30.350366,120.058494
20211026,62144,30.350035,120.052628,5,7.446733321,30.350366,120.058494
20211026,62149,30.350045,120.053,5,7.142597132,30.355354,120.046409
20211026,62154,30.350054,120.053395,5,7.583190107,30.355354,120.046409
20211026,62159,30.35008,120.053799,5,7.774782679,30.355354,120.046409
20211026,62204,30.350091,120.054201,5,7.718752511,30.353542,120.057785
20211026,62209,30.350098,120.054601,5,7.678081556,30.353542,120.057785
20211026,62214,30.350123,120.05502,5,8.060319357,30.353542,120.057785
20211026,62219,30.350118,120.055396,5,7.216760841,30.353542,120.057785
20211026,62224,30.350128,120.055775,5,7.276880308,30.353542,120.057785
20211026,62229,30.350148,120.056165,5,7.497777934,30.353542,120.057785
20211026,62234,30.350181,120.056476,5,6.013418677,30.353542,120.057785
20211026,62239,30.350348,120.056603,5,4.442244402,30.353542,120.057785
20211026,62244,30.350638,120.056648,5,6.506861374,30.353542,120.057785
20211026,62249,30.350943,120.056688,5,6.826188898,30.353542,120.057785
20211026,62254,30.351256,120.056758,5,7.089249755,30.353542,120.057785
20211026,62259,30.351519,120.056813,5,5.943347671,30.348127,120.057075
20211026,62309,30.351755,120.057243,5,5.956949725,30.353046,120.056312
20211026,62314,30.351613,120.057566,5,6.956734486,30.353046,120.056312
20211026,62319,30.35133,120.057884,5,8.766600483,30.353046,120.056312
20211026,62324,30.351198,120.058223,5,7.137371257,30.348127,120.057075
20211026,62329,30.351113,120.05854,5,6.370466675,30.348127,120.057075
20211026,62334,30.350975,120.058858,5,6.830966768,30.352338,120.060112
20211026,62339,30.350838,120.059151,5,6.395346275,30.353542,120.057785
